step,step_loss,lr
416,0.168214,0.00009649
417,0.105607,0.00009646
418,0.304070,0.00009642
419,0.076696,0.00009639
420,0.083239,0.00009636
421,0.226216,0.00009633
422,0.094205,0.00009629
423,0.061903,0.00009626
424,0.176228,0.00009623
425,0.191438,0.00009619
426,0.094700,0.00009616
427,0.372912,0.00009613
428,0.179903,0.00009609
429,0.163248,0.00009606
430,0.167744,0.00009603
431,0.170945,0.00009599
432,0.153637,0.00009596
433,0.262046,0.00009592
434,0.311687,0.00009589
435,0.157407,0.00009585
436,0.150074,0.00009582
437,0.184152,0.00009578
438,0.261578,0.00009575
439,0.228274,0.00009571
440,0.079231,0.00009568
441,0.049325,0.00009564
442,0.107346,0.00009561
443,0.062730,0.00009557
444,0.249363,0.00009553
445,0.094746,0.00009550
446,0.080172,0.00009546
447,0.109064,0.00009543
448,0.070352,0.00009539
449,0.134622,0.00009535
450,0.132173,0.00009532
451,0.101710,0.00009528
452,0.115085,0.00009524
453,0.231125,0.00009520
454,0.139095,0.00009517
455,0.081503,0.00009513
456,0.368258,0.00009509
457,0.089389,0.00009505
458,0.190863,0.00009502
459,0.244499,0.00009498
460,0.214583,0.00009494
461,0.265747,0.00009490
462,0.316690,0.00009486
463,0.121712,0.00009482
464,0.241165,0.00009479
465,0.143976,0.00009475
466,0.141808,0.00009471
467,0.278989,0.00009467
468,0.129392,0.00009463
469,0.089780,0.00009459
470,0.138549,0.00009455
471,0.164351,0.00009451
472,0.066991,0.00009447
473,0.139550,0.00009443
474,0.181372,0.00009439
475,0.106130,0.00009435
476,0.227221,0.00009431
477,0.237231,0.00009427
478,0.114156,0.00009423
479,0.156595,0.00009419
480,0.175123,0.00009415
481,0.163542,0.00009411
482,0.196458,0.00009407
483,0.055263,0.00009402
484,0.198176,0.00009398
485,0.198354,0.00009394
486,0.105898,0.00009390
487,0.134400,0.00009386
488,0.143869,0.00009382
489,0.246289,0.00009377
490,0.059280,0.00009373
491,0.141900,0.00009369
492,0.144781,0.00009365
493,0.110187,0.00009360
494,0.088978,0.00009356
495,0.188107,0.00009352
496,0.175599,0.00009347
497,0.149820,0.00009343
498,0.078186,0.00009339
499,0.151209,0.00009334
500,0.243670,0.00009330
501,0.112069,0.00009326
502,0.170235,0.00009321
503,0.223297,0.00009317
504,0.071140,0.00009313
505,0.150222,0.00009308
506,0.166327,0.00009304
507,0.205968,0.00009299
508,0.291874,0.00009295
509,0.144392,0.00009290
510,0.139772,0.00009286
511,0.342737,0.00009281
512,0.099109,0.00009277
513,0.086531,0.00009272
514,0.276679,0.00009268
515,0.129695,0.00009263
516,0.162396,0.00009259
517,0.146739,0.00009254
518,0.138235,0.00009249
519,0.139398,0.00009245
520,0.198416,0.00009240
521,0.136720,0.00009236
522,0.288080,0.00009231
523,0.167690,0.00009226
524,0.181332,0.00009222
525,0.199849,0.00009217
526,0.252536,0.00009212
527,0.160860,0.00009208
528,0.136565,0.00009203
529,0.130188,0.00009198
530,0.140671,0.00009193
531,0.171391,0.00009189
532,0.228745,0.00009184
533,0.148927,0.00009179
534,0.157963,0.00009174
535,0.138101,0.00009169
536,0.244690,0.00009165
537,0.124085,0.00009160
538,0.159788,0.00009155
539,0.149297,0.00009150
540,0.145935,0.00009145
541,0.172469,0.00009140
542,0.136194,0.00009135
543,0.168259,0.00009130
544,0.167948,0.00009126
545,0.102302,0.00009121
546,0.396703,0.00009116
547,0.048280,0.00009111
548,0.086354,0.00009106
549,0.103366,0.00009101
550,0.109418,0.00009096
551,0.073907,0.00009091
552,0.117837,0.00009086
553,0.029008,0.00009081
554,0.181126,0.00009076
555,0.239522,0.00009071
556,0.234396,0.00009066
557,0.221857,0.00009060
558,0.056520,0.00009055
559,0.176378,0.00009050
560,0.075220,0.00009045
561,0.233186,0.00009040
562,0.154538,0.00009035
563,0.192744,0.00009030
564,0.054347,0.00009024
565,0.073888,0.00009019
566,0.183388,0.00009014
567,0.100945,0.00009009
568,0.158323,0.00009004
569,0.173253,0.00008998
570,0.100663,0.00008993
571,0.172467,0.00008988
572,0.247575,0.00008983
573,0.063872,0.00008977
574,0.238266,0.00008972
575,0.050836,0.00008967
576,0.137509,0.00008961
577,0.087308,0.00008956
578,0.319033,0.00008951
579,0.109958,0.00008945
580,0.193128,0.00008940
581,0.131149,0.00008935
582,0.146507,0.00008929
583,0.240540,0.00008924
584,0.120832,0.00008918
585,0.131598,0.00008913
